user_key,cluster_id,dominant_share_known,imputed_country_key,imputed_country_iso,imputed_country_name,imputed_market_currency_code,imputation_method
10716,1,0.1545,197,RU,Rusia,USD,cluster_majority
10720,1,0.1545,197,RU,Rusia,USD,cluster_majority
10723,1,0.1545,197,RU,Rusia,USD,cluster_majority
10726,1,0.1545,197,RU,Rusia,USD,cluster_majority
10730,1,0.1545,197,RU,Rusia,USD,cluster_majority
10736,1,0.1545,197,RU,Rusia,USD,cluster_majority
10738,0,0.0204,29,BR,Brasil,USD,cluster_majority
10742,1,0.1545,197,RU,Rusia,USD,cluster_majority
10744,1,0.1545,197,RU,Rusia,USD,cluster_majority
10748,1,0.1545,197,RU,Rusia,USD,cluster_majority
10750,1,0.1545,197,RU,Rusia,USD,cluster_majority
10752,2,0.9134,69,US,Estados Unidos,USD,cluster_majority
10754,1,0.1545,197,RU,Rusia,USD,cluster_majority
10761,1,0.1545,197,RU,Rusia,USD,cluster_majority
10764,1,0.1545,197,RU,Rusia,USD,cluster_majority
10768,1,0.1545,197,RU,Rusia,USD,cluster_majority
10776,1,0.1545,197,RU,Rusia,USD,cluster_majority
10790,1,0.1545,197,RU,Rusia,USD,cluster_majority
10792,1,0.1545,197,RU,Rusia,USD,cluster_majority
10793,1,0.1545,197,RU,Rusia,USD,cluster_majority
10797,1,0.1545,197,RU,Rusia,USD,cluster_majority
10800,1,0.1545,197,RU,Rusia,USD,cluster_majority
10803,1,0.1545,197,RU,Rusia,USD,cluster_majority
10809,1,0.1545,197,RU,Rusia,USD,cluster_majority
10814,1,0.1545,197,RU,Rusia,USD,cluster_majority
10816,1,0.1545,197,RU,Rusia,USD,cluster_majority
10820,1,0.1545,197,RU,Rusia,USD,cluster_majority
10827,1,0.1545,197,RU,Rusia,USD,cluster_majority
10829,1,0.1545,197,RU,Rusia,USD,cluster_majority
10835,1,0.1545,197,RU,Rusia,USD,cluster_majority
10841,1,0.1545,197,RU,Rusia,USD,cluster_majority
10847,1,0.1545,197,RU,Rusia,USD,cluster_majority
10848,1,0.1545,197,RU,Rusia,USD,cluster_majority
10851,1,0.1545,197,RU,Rusia,USD,cluster_majority
10852,1,0.1545,197,RU,Rusia,USD,cluster_majority
10856,1,0.1545,197,RU,Rusia,USD,cluster_majority
10858,1,0.1545,197,RU,Rusia,USD,cluster_majority
10861,1,0.1545,197,RU,Rusia,USD,cluster_majority
10864,1,0.1545,197,RU,Rusia,USD,cluster_majority
10867,1,0.1545,197,RU,Rusia,USD,cluster_majority
10868,1,0.1545,197,RU,Rusia,USD,cluster_majority
10871,1,0.1545,197,RU,Rusia,USD,cluster_majority
10874,1,0.1545,197,RU,Rusia,USD,cluster_majority
10878,1,0.1545,197,RU,Rusia,USD,cluster_majority
10882,1,0.1545,197,RU,Rusia,USD,cluster_majority
10886,1,0.1545,197,RU,Rusia,USD,cluster_majority
10887,1,0.1545,197,RU,Rusia,USD,cluster_majority
10890,1,0.1545,197,RU,Rusia,USD,cluster_majority
10891,1,0.1545,197,RU,Rusia,USD,cluster_majority
10893,1,0.1545,197,RU,Rusia,USD,cluster_majority
10898,1,0.1545,197,RU,Rusia,USD,cluster_majority
10901,1,0.1545,197,RU,Rusia,USD,cluster_majority
10902,1,0.1545,197,RU,Rusia,USD,cluster_majority
10914,1,0.1545,197,RU,Rusia,USD,cluster_majority
10916,1,0.1545,197,RU,Rusia,USD,cluster_majority
10919,1,0.1545,197,RU,Rusia,USD,cluster_majority
10924,1,0.1545,197,RU,Rusia,USD,cluster_majority
10925,1,0.1545,197,RU,Rusia,USD,cluster_majority
10926,1,0.1545,197,RU,Rusia,USD,cluster_majority
10934,1,0.1545,197,RU,Rusia,USD,cluster_majority
10937,1,0.1545,197,RU,Rusia,USD,cluster_majority
10940,1,0.1545,197,RU,Rusia,USD,cluster_majority
10948,1,0.1545,197,RU,Rusia,USD,cluster_majority
10953,1,0.1545,197,RU,Rusia,USD,cluster_majority
10954,1,0.1545,197,RU,Rusia,USD,cluster_majority
10957,1,0.1545,197,RU,Rusia,USD,cluster_majority
10959,1,0.1545,197,RU,Rusia,USD,cluster_majority
10961,1,0.1545,197,RU,Rusia,USD,cluster_majority
10965,1,0.1545,197,RU,Rusia,USD,cluster_majority
10969,1,0.1545,197,RU,Rusia,USD,cluster_majority
10974,1,0.1545,197,RU,Rusia,USD,cluster_majority
10978,1,0.1545,197,RU,Rusia,USD,cluster_majority
10985,1,0.1545,197,RU,Rusia,USD,cluster_majority
10990,1,0.1545,197,RU,Rusia,USD,cluster_majority
10991,1,0.1545,197,RU,Rusia,USD,cluster_majority
10993,1,0.1545,197,RU,Rusia,USD,cluster_majority
10997,1,0.1545,197,RU,Rusia,USD,cluster_majority
11004,1,0.1545,197,RU,Rusia,USD,cluster_majority
11007,1,0.1545,197,RU,Rusia,USD,cluster_majority
11011,1,0.1545,197,RU,Rusia,USD,cluster_majority
11014,1,0.1545,197,RU,Rusia,USD,cluster_majority
11018,1,0.1545,197,RU,Rusia,USD,cluster_majority
11020,1,0.1545,197,RU,Rusia,USD,cluster_majority
11023,1,0.1545,197,RU,Rusia,USD,cluster_majority
11027,1,0.1545,197,RU,Rusia,USD,cluster_majority
11030,0,0.0204,29,BR,Brasil,USD,cluster_majority
11039,1,0.1545,197,RU,Rusia,USD,cluster_majority
11040,1,0.1545,197,RU,Rusia,USD,cluster_majority
11041,1,0.1545,197,RU,Rusia,USD,cluster_majority
11045,1,0.1545,197,RU,Rusia,USD,cluster_majority
11047,1,0.1545,197,RU,Rusia,USD,cluster_majority
11052,1,0.1545,197,RU,Rusia,USD,cluster_majority
11054,1,0.1545,197,RU,Rusia,USD,cluster_majority
11058,1,0.1545,197,RU,Rusia,USD,cluster_majority
11061,1,0.1545,197,RU,Rusia,USD,cluster_majority
11062,1,0.1545,197,RU,Rusia,USD,cluster_majority
11072,1,0.1545,197,RU,Rusia,USD,cluster_majority
